Campaign.Committee.Name.Original,Campaign.Committee.Name.Cleaned
Friends of Adrian Rivera Reyes,Friends of Adrian Rivera Reyes
Taubenberger for Philadelphia,Taubenberger for Philadelphia
taubenberger for philadephia,Taubenberger for Philadelphia
Domb for City Council,Domb for Council
Domb for Council,Domb for Council
FINNSPIRATION PAC,FINNSPIRATION PAC
Greenlee for Council-at-Large,Greenlee for Council-at-Large
Friends of Bill Heeney,Friends of Bill Heeney
Friends of Blondell Reynolds-Brown,Friends of Blondell Reynolds Brown
Friends of Blondell Reynolds Brown,Friends of Blondell Reynolds Brown
The Friends of Blondell Reynolds Brown,Friends of Blondell Reynolds Brown
Dan Tinney for City Council,Dan Tinney for City Council
Daniel Tinney for City Council,Dan Tinney for City Council
Citizens for David Oh,Citizens For David Oh
Friends of Deja Lynn Alvarez,Friends of Deja Lynn Alvarez
The Green Fund,The Green Fund
Friends of Erika Almiron,Friends of Erika Almiron
Friends of Eryn Santamoor,Friends of Eryn Santamoor
Committee to Elect Ethelind Baylor for Citty Council,Committee to Elect Ethelind Baylor for Citty Council
Friends of Fernando Trevino,Friends of Fernando Trevino
Friends of Helen Gym,Friends of Helen Gym
FRIENDS OF IRINA M. GOLDSTEIN,FRIENDS OF IRINA M. GOLDSTEIN
Friends of Isaiah Thomas,Citizens for Isaiah Thomas
Citizens for Isaiah Thomas,Citizens for Isaiah Thomas
FRIENDS OF JOE COX FOR OFFICE,FRIENDS OF JOE COX FOR OFFICE
Friends of Justin DiBerardinis,Friends of Justin DiBerardinis
WWW.Wolfe.Org,www.wolfe.org
Melissa For Philly,Melissa For Philly
Cohen for Council,Cohen for Council
Citizens for S. Vaughn-Lewis,Citizens for S. Vaughn-Lewis
Squilla for Council,Squilla for Council
lou lanni for city council,lou lanni for city council
Friends of Brian O'Neill,Friends of Brian O'Neill
Committee to Elect Judy Moore,Committee to Elect Judy Moore
Committee to Elect Mike Stack,Committee to Elect Mike Stack
Taras Smerechanskyy,Taras Smerechanskyy
Citizens for Kenyatta Johnson,Citizens for Kenyatta Johnson
Vote Vidas PAC,Vote Vidas PAC
JAMIE FOR WEST PHILLY,JAMIE FOR WEST PHILLY
FREINDS OF JANNIE L. BLACKWELL,Friends of Jannie L. Blackwell
Friends of Jannie L. Blackwell,Friends of Jannie L. Blackwell
Friends of Curtis Jones Jr.,Friends of Curtis Jones Jr.
J R GETER PAC,J R GETER PAC
Friends of Darrell Clarke,Friends of Darrell Clarke
Friends of Glenn Dawson Jr,Friends of Glenn Dawson Jr
Sheila E. Armstrong for Office,Sheila E. Armstrong for Office
Bobby 11,Bobby 11
7th Ward Friends of Angel Cruz,7th Ward Friends of Angel Cruz
Friends of Maria,Friends of Maria
Friends of Maria ,Friends of Maria
Friends of Cindy Bass,Friends of Cindy Bass
People for Tonya Bah,People for Tonya Bah
FRIENDS OF CHERELLE L. PARKER,PEOPLE FOR PARKER
PEOPLE FOR PARKER,PEOPLE FOR PARKER
Friends of Ori Feibush,Friends of Ori Feibush
Michael Galganski for City Council,Michael Galganski for City Council
Tracy for City Council,Tracy for City Council
Denny O'Brien for Philadelphia,Denny O'Brien for Philadelphia
Denny Oï¿½Brien for Philadelphia,Denny O'Brien for Philadelphia
Forum 2007,Forum 2007
Frank Rizzo '15 Committee,Frank Rizzo '15 Committee
Friends of Andrew Stober,Friends of Andrew Stober
friends of carla cain,friends of carla cain
Friends of George Matysik,Friends of George Matysik
Friends of James Williams,Friends of James Williams
Friends of Jenne Ayers,Friends of Jenne Ayers
Friends of Joe Guerra,Friends of Joe Guerra
Friends of Kevin Strickland,Friends of Kevin Strickland
Friends of Kristin Combs,Friends of Kristin Combs
Friends of Paul Steinke,Friends of Paul Steinke
Friends of Tom Wyatt,Friends of Tom Wyatt
Manny Morales for City Council,Manny Morales for City Council
Marnie Aument-Loughrey for Change,Marnie Aument-Loughrey for Change
Michael Galganski for Philadelphia City Council District 8 2015,Michael Galganski for Philadelphia City Council District 8 2015
Neilson for Council,Neilson for Council
Philadelphia Socialist Workers 2015 Campaign for Council at Large,Philadelphia Socialist Workers 2015 Campaign for Council at Large
Wilson Alexander,Wilson Alexander
Cohen For Council,Cohen for Council
Citizens For David Oh,Citizens For David Oh
Sheila E. Armstrong For Office,Sheila E. Armstrong for Office
Squilla For Council,Squilla for Council
www.wolfe.org,www.wolfe.org
Friends OF Carla CAIN,friends of carla cain
Friends of carla cain,friends of carla cain
